transect,distance_m,E,N,certified,depth_mean_m,depth_p10_m,depth_p90_m,uncertainty_max_m,frf_survey_fraction,sar_paper_wavelength_m,sar_identifiable,sar_axial_deg,sar_peak_k,sar_centroid_k,sar_band_k,pred_Ek_peak_k,pred_Ek_centroid_k,pred_Ek_band_k,pred_k2Ek_peak_k,pred_k2Ek_centroid_k,pred_k2Ek_band_k,lambda_Tpeak_waverider-17m_m,lambda_Tpeak_awac-11m_m,lambda_Tpeak_8m-array_m,lambda_Tpeak_waverider-26m_m
17,1950.0,434778.97149501694,4004699.6826634416,False,15.310890197753906,14.493054389953613,16.13022804260254,2.759999990463257,0.0,137.38401653758697,True,,,,,,,,,,,,,,
17,2000.0,434828.6249180188,4004705.559532013,False,15.431488037109375,14.593466758728027,16.2200927734375,2.7699999809265137,0.0,137.38401653758697,True,,,,,,,,,,,,,,
17,2050.0,434878.2783410207,4004711.4364005835,False,15.58047866821289,14.723231315612793,16.314226150512695,2.7799999713897705,0.0,134.45778724835563,True,,,,,,,,,,,,,,
17,2100.0,434927.93176402256,4004717.313269154,False,15.704850196838379,14.853865623474121,16.405925750732422,2.7899999618530273,0.0,131.92327708688998,True,,,,,,,,,,,,,,
17,2150.0,434977.5851870244,4004723.190137725,False,15.830376625061035,15.016170501708984,16.49873161315918,2.7899999618530273,0.0,138.8354930039397,False,,,,,,,,,,,,,,
17,2200.0,435027.23861002625,4004729.067006296,False,15.940774917602539,15.171233177185059,16.53158187866211,2.7899999618530273,0.0,133.99652418309455,True,,,,,,,,,,,,,,
17,2250.0,435076.8920330281,4004734.9438748667,False,16.061220169067383,15.325030326843262,16.58062171936035,2.799999952316284,0.0,117.14670472254183,False,,,,,,,,,,,,,,
17,2300.0,435126.54545603,4004740.8207434374,False,16.17616844177246,15.476183891296387,16.656023025512695,2.799999952316284,0.0,111.06839440315186,False,,,,,,,,,,,,,,
17,2350.0,435176.1988790318,4004746.697612008,False,16.28801155090332,15.657669067382812,16.745996475219727,2.799999952316284,0.0,159.92193217393253,False,,,,,,,,,,,,,,
17,2400.0,435225.8523020337,4004752.5744805792,False,16.395994186401367,15.863993644714355,16.826047897338867,2.809999942779541,0.0,159.92193217393253,True,,,,,,,,,,,,,,
17,2450.0,435275.50572503556,4004758.45134915,False,16.492521286010742,16.009145736694336,16.912742614746094,2.809999942779541,0.0,159.92193217393253,True,,,,,,,,,,,,,,
17,2500.0,435325.15914803743,4004764.3282177206,False,16.59950065612793,16.140058517456055,17.031993865966797,2.819999933242798,0.0,159.92193217393253,True,,,,,,,,,,,,,,
17,2550.0,435374.81257103925,4004770.2050862913,False,16.72844886779785,16.27815055847168,17.204038619995117,2.8299999237060547,0.0,142.0032502336585,True,,,,,,,,,,,,,,
17,2600.0,435424.4659940411,4004776.0819548625,False,16.834285736083984,16.379892349243164,17.343433380126953,2.8399999141693115,0.0,142.0032502336585,True,,,,,,,,,,,,,,
