acquisition_key,bin_index,frequency_hz,band_width_hz,spectral_wave_density,valid_spectral_wave_density,mean_wave_dir,valid_mean_wave_dir,principal_wave_dir,valid_principal_wave_dir,wave_spectrum_r1,valid_wave_spectrum_r1,wave_spectrum_r2,valid_wave_spectrum_r2,valid_joint
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,38,0.215,0.0050000000000000044,0.015,True,160.0,True,152.0,True,0.78,True,0.46,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,39,0.22,0.0050000000000000044,0.016,True,160.0,True,152.0,True,0.8,True,0.44,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,40,0.225,0.0050000000000000044,0.017,True,164.0,True,148.0,True,0.76,True,0.38,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,41,0.23,0.004999999999999977,0.023,True,176.0,True,164.0,True,0.79,True,0.42,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,42,0.235,0.0050000000000000044,0.016,True,180.0,True,148.0,True,0.68,True,0.14,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,43,0.24,0.0050000000000000044,0.013,True,188.0,True,176.0,True,0.74,True,0.22,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,44,0.245,0.005500000000000005,0.015,True,168.0,True,164.0,True,0.87,True,0.62,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,45,0.251,0.007500000000000007,0.01,True,164.0,True,152.0,True,0.81,True,0.58,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,46,0.26,0.009500000000000008,0.01,True,168.0,True,148.0,True,0.73,True,0.57,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,47,0.27,0.010000000000000009,0.008,True,156.0,True,148.0,True,0.84,True,0.65,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,48,0.28,0.010000000000000009,0.008,True,164.0,True,156.0,True,0.81,True,0.52,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,49,0.29,0.009999999999999953,0.006,True,168.0,True,152.0,True,0.75,True,0.51,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,50,0.3,0.010000000000000009,0.005,True,168.0,True,160.0,True,0.8,True,0.58,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,51,0.31,0.010000000000000009,0.004,True,164.0,True,160.0,True,0.84,True,0.66,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,52,0.32,0.010000000000000009,0.004,True,160.0,True,152.0,True,0.79,True,0.48,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,53,0.33,0.010000000000000009,0.004,True,160.0,True,152.0,True,0.75,True,0.59,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,54,0.34,0.009999999999999953,0.004,True,156.0,True,156.0,True,0.8,True,0.62,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,55,0.35,0.010000000000000009,0.006,True,144.0,True,148.0,True,0.72,True,0.42,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,56,0.36,0.010000000000000009,0.003,True,148.0,True,144.0,True,0.73,True,0.48,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,57,0.37,0.010000000000000009,0.001,True,152.0,True,148.0,True,0.79,True,0.58,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,58,0.38,0.010000000000000009,0.003,True,148.0,True,148.0,True,0.87,True,0.67,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,59,0.39,0.010000000000000009,0.001,True,156.0,True,148.0,True,0.75,True,0.55,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,60,0.4,0.010000000000000009,0.002,True,152.0,True,156.0,True,0.87,True,0.79,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,61,0.41,0.009999999999999953,0.003,True,144.0,True,144.0,True,0.89,True,0.74,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,62,0.42,0.010000000000000009,0.002,True,148.0,True,144.0,True,0.81,True,0.55,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,63,0.43,0.010000000000000009,0.001,True,148.0,True,148.0,True,0.81,True,0.52,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,64,0.44,0.010000000000000009,0.002,True,148.0,True,156.0,True,0.79,True,0.6,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,65,0.45,0.010000000000000009,0.001,True,140.0,True,164.0,True,0.7,True,0.37,True,True
