run,transect,distance_m,E,N,depth_mean_m,reference_gauge,gauge_depth_m,lambda_sar_radial_m,lambda_sar_paper_m,sar_paper_identifiable,lambda_pred_m,rel_err_radial,rel_err_paper,uncertainty_max_m,legacy_fraction
near,7,550.0,431025.3105196052,4010825.3052036194,8.721162796020508,8m-array,8.0,114.54283637531229,117.80582228695603,True,108.1451965364321,0.059157873338599565,0.08933014188262578,0.15355214476585388,0.0
near,7,600.0,431068.2503682065,4010850.921007376,8.965339660644531,8m-array,8.0,163.66607297138577,117.80582228695603,True,120.249897195981,0.3610495874657249,-0.020324964644598986,0.15355214476585388,0.0
near,8,600.0,431176.9141898821,4010633.643873501,9.190433502197266,8m-array,8.0,148.3575752859455,117.80582228695603,True,120.1126327918855,0.23515380387172868,-0.019205394564336897,0.15355214476585388,0.0
near,9,600.0,431247.24643535947,4010401.92260291,9.253104209899902,8m-array,8.0,147.4573825306122,117.80582228695603,True,112.84483186101409,0.3067269461859701,0.04396293870198842,0.15355214476585388,0.0
near,10,550.0,431230.452132642,4010226.081830708,8.732015609741211,8m-array,8.0,131.75844050444226,117.80582228695603,True,113.97598486254532,0.15601931988868123,0.033602143723780786,0.15355214476585388,0.0
near,10,600.0,431279.5661173171,4010235.4528770386,9.089728355407715,8m-array,8.0,145.7486564887647,117.80582228695603,True,106.46467333086271,0.36898608645346864,0.10652499652018999,0.15355214476585388,0.0
near,11,450.0,431156.8760233613,4010100.8071974996,7.86328649520874,8m-array,8.0,150.64202313469264,116.77991750702667,True,97.78549864468087,0.5405354088551957,0.19424576369309143,0.15355214476585388,0.0
near,11,500.0,431204.80940698605,4010115.0336072464,8.280062675476074,8m-array,8.0,132.6527267224413,111.06839440315186,True,108.23432024338832,0.22560687242404143,0.026184616426568885,0.15355214476585388,0.0
near,11,550.0,431252.7427906108,4010129.2600169927,8.660022735595703,8m-array,8.0,134.2819717569762,117.80582228695603,True,104.50494918889095,0.284934089717261,0.12727505444765086,0.15355214476585388,0.0
near,12,500.0,431235.26255336474,4010033.7138012005,8.290449142456055,8m-array,8.0,138.50918954227393,116.24361195174386,True,113.8958763798358,0.21610363732883742,0.02061299887696122,0.15355214476585388,0.0
near,12,550.0,431280.9585086602,4010054.0086199883,8.698301315307617,8m-array,8.0,139.47148372709103,117.80582228695603,True,110.54397650761813,0.2616832516195884,0.06569191745004255,0.15355214476585388,0.0
near,13,550.0,431336.5995645725,4009938.201062025,8.734238624572754,8m-array,8.0,134.97570367490246,113.08188270064278,True,120.11810967149368,0.12369154030180995,-0.058577569944232466,0.15355214476585388,0.0
near,15,500.0,431425.37874390435,4009520.9096120833,8.289793968200684,8m-array,8.0,122.6714864821825,110.08168493664391,True,108.26719801129542,0.13304388342426932,0.016759341321082255,0.15355214476585388,0.0
near,15,550.0,431474.50643894833,4009530.208514151,8.66640567779541,8m-array,8.0,122.66613839142599,109.6583518407984,True,120.02332796724143,0.02201913968679392,-0.08635801307952395,0.15355214476585388,0.0
near,15,600.0,431523.6341339923,4009539.5074162185,9.067543983459473,8m-array,8.0,114.55541982074202,111.06839440315186,True,103.31936996656786,0.10875066173758041,0.07500069385916142,0.15355214476585388,0.0
near,16,450.0,431404.0504085521,4009325.3934392794,7.639082908630371,8m-array,8.0,87.00302784790654,82.22019495508816,True,104.99891288059045,-0.17139115576510455,-0.21694241683632753,0.15355214476585388,0.0
near,16,500.0,431453.6484039594,4009331.721065341,8.051056861877441,8m-array,8.0,101.87645431524898,98.08141160664577,True,112.2514706906525,-0.09242655184443371,-0.12623495261863593,0.15355214476585388,0.0
near,16,550.0,431503.2463993667,4009338.048691403,8.424165725708008,8m-array,8.0,111.18608687707447,105.49291311259303,True,106.75661041776361,0.04149135535473891,-0.011837180856767882,0.15355214476585388,0.0
