geometry,centre_offset_m,transect_slc,distance_m,E,N,band,band_name,window_class,dominant_class_name,depth_mean_m,lambda_pred_m,slc_lambda_contour_m,grd_lambda_contour_m,slc_lambda_centroid_m,grd_lambda_centroid_m,slc_rel_err_contour,grd_rel_err_contour,slc_rel_err_centroid,grd_rel_err_centroid,slc_identifiable,grd_identifiable,forward_source,block
far,47.50309276103089,13,14100.0,445307.0301562663,4010650.9036660306,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,26.686767578125,165.49494949494934,186.18181818181793,170.6666666666665,184.1491660123128,182.1804199877741,0.12499999999999956,0.031249999999999778,0.11271773896600257,0.10082162956479812,True,True,block40_sector66,1_13
far,47.61725964210566,13,14200.0,445400.1576941001,4010687.335269029,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,26.701889038085938,165.49494949494934,166.0255939729691,161.46073535312985,162.29419780064387,170.3111692309671,0.0032064088942844737,-0.024376660158699326,-0.01934047959815932,0.02910191368809567,True,True,block40_sector66,1_13
far,47.82562118772765,13,14300.0,445493.285231934,4010723.766872027,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,26.724499702453613,165.49494949494934,152.64890726398548,152.64890726398548,169.3891025314933,169.5913862247188,-0.07762195928133686,-0.07762195928133686,0.02353034366564044,0.024752638931102133,True,True,block40_sector66,1_13
far,48.12695398997448,13,14400.0,445586.41276976786,4010760.1984750247,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,26.746850967407227,165.49494949494934,152.64890726398548,152.64890726398548,170.30232055967736,169.68550833315308,-0.07762195928133686,-0.07762195928133686,0.02904844576465293,0.02532136993299372,True,True,block40_sector66,1_14
far,48.51952587281509,13,14500.0,445679.5403076017,4010796.630078023,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,26.759443283081055,165.49494949494934,152.64890726398548,152.64890726398548,169.26759090577215,194.67366798075136,-0.07762195928133686,-0.07762195928133686,0.022796112040494254,0.17631183655361338,True,True,block40_sector66,1_14
far,49.00114400393465,13,14600.0,445772.66784543556,4010833.0616810205,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,26.75802230834961,165.49494949494934,152.64890726398548,152.64890726398548,169.46939379294798,194.98199889626298,-0.07762195928133686,-0.07762195928133686,0.024015502044791637,0.17817492008850433,True,True,block40_sector66,1_14
far,49.56921291160829,13,14700.0,445865.79538326943,4010869.4932840187,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,26.738685607910156,165.49494949494934,152.64890726398548,163.4481939389688,171.86692347402732,183.81313679708958,-0.07762195928133686,-0.01236748047131786,0.038502528315961904,0.11068728899608682,True,True,block40_sector66,1_14
far,30.125330430791255,13,17700.0,448659.62151828513,4011962.4413739587,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,26.910476684570312,165.49494949494934,158.2160494462784,167.77869732229925,169.647865618331,180.63874493089017,-0.043982611378077685,0.013799501642312029,0.02509391456389065,0.09150608814441785,True,True,block40_sector66,1_17
far,41.409749506227506,14,6000.0,437566.5395350046,4008097.144986974,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.333415985107422,150.3119266055044,140.0711431948962,152.2266411514195,144.28374379663066,144.8560546395874,-0.068130211899188,0.012738274261764326,-0.04010448768110586,-0.036296999773251515,False,False,block39_sector72,1_5
far,25.122381587651542,14,6100.0,437653.38451928715,4008146.7226906824,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.393199920654297,150.31192660550437,131.59002220895812,152.2266411514195,137.4889186866112,143.49908660738524,-0.1245536852553435,0.012738274261764548,-0.08530931781978512,-0.04532468016326818,True,False,block39_sector72,1_5
far,10.716134054882989,14,6200.0,437740.2295035697,4008196.3003943902,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.44117832183838,150.3119266055044,168.34456300068567,149.7201189361394,131.38485649285684,138.08573145155103,0.11996810101774669,-0.00393719701909101,-0.12591861830313633,-0.08133882274053461,False,False,block39_sector72,1_6
far,12.87912153460192,14,6300.0,437827.0744878523,4008245.878098098,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.465720176696777,150.3119266055044,143.21328154113326,142.0032502336585,132.56467966852986,140.57453196161657,-0.04722609326272309,-0.05527622830390655,-0.11806945288880777,-0.0647812509877792,False,True,block39_sector72,1_6
far,28.004335091433514,14,6400.0,437913.91947213485,4008295.4558018064,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.479209899902344,150.3119266055044,142.0032502336585,150.57195460481162,146.2102580203181,148.10062453396537,-0.05527622830390655,0.0017299226028129056,-0.027287712145099285,-0.014711421252304291,True,True,block39_sector72,1_6
far,44.384102629959536,14,6500.0,438000.7644564174,4008345.0335055143,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.511231422424316,150.3119266055044,142.0032502336585,150.57195460481162,147.60307406836412,147.8796606051947,-0.05527622830390655,0.0017299226028129056,-0.018021540927019686,-0.016181457155380774,True,True,block39_sector72,1_6
far,46.09497273216117,14,8800.0,439998.1990949166,4009485.3206907986,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,21.18744659423828,153.12149532710265,157.07442971594122,167.77869732229925,157.12589802512758,148.10852475308997,0.025815672583357374,0.09572269369421615,0.026151799846720447,-0.032738516321982325,True,True,block39_sector72,1_8
far,47.75576601535499,14,8900.0,440085.04407919914,4009534.898394507,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,21.300898551940918,153.12149532710265,162.8156743689768,167.77869732229925,157.80112415813022,148.1133312023583,0.06331037338138024,0.09572269369421615,0.030561540827633626,-0.03270712654709751,True,True,block39_sector72,1_8
far,36.83016660547462,14,12300.0,443037.7735448066,4011220.5403205794,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,26.126490592956543,164.255124122307,99.34259201488186,166.6025916047277,127.54870175975645,184.74235321306017,-0.3951954184561861,0.014295069168630103,-0.2234746685217346,0.12473195120032554,True,False,block40_sector66,1_12
far,44.169099835724694,14,13800.0,444340.4483090451,4011964.2058761995,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,26.280627250671387,165.49494949494934,163.4481939389688,409.5999999999993,682.666666666666,188.9470356242086,-0.01236748047131786,1.4749999999999979,3.124999999999999,0.14170877238749213,False,True,block40_sector66,1_13
far,49.782413660594116,14,13900.0,444427.2932933277,4012013.7835799074,3,C_20_30m,primary_admissible,bluetopo_direct_h12859_2016,26.2564697265625,165.49494949494934,186.18181818181793,181.8165310024791,189.48751367128537,682.666666666666,0.12499999999999956,0.09862283747835998,0.1449746004307415,3.124999999999999,True,False,block40_sector66,1_13
far,41.17800013454309,15,6100.0,437083.461306269,4008935.247970829,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,21.242700576782227,153.12149532710265,113.60260018692681,120.47058823529396,138.1339410787834,143.08982836314598,-0.258088487548756,-0.2132352941176473,-0.09788014554261237,-0.0655144265834573,True,True,block39_sector72,1_5
far,20.701755640264334,15,6200.0,437157.44635572564,4009002.525102582,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,21.322869300842285,153.12149532710265,155.70655667603555,152.2266411514195,138.23282040013186,179.06818942834806,0.01688241969823112,-0.005844079394415114,-0.09723438825597386,0.1694516765645302,False,True,block39_sector72,1_6
far,34.639826906848114,15,6300.0,437231.4314051823,4009069.802234335,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,21.382265090942383,153.12149532710265,159.92193217393245,134.5867635727328,139.35040782257357,145.7568410187202,0.044412032630053,-0.12104591660873887,-0.0899356911001351,-0.04809680242901149,False,True,block39_sector72,1_6
far,31.37150076457649,15,6400.0,437305.41645463894,4009137.0793660874,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,21.460947036743164,153.12149532710265,159.92193217393245,138.70806251081638,147.03029850667528,147.05572921301544,0.044412032630053,-0.0941306952723775,-0.03978015501621879,-0.039614073132771765,False,True,block39_sector72,1_6
far,28.10391745009589,15,6500.0,437379.4015040956,4009204.3564978405,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,21.528837203979492,153.12149532710265,158.2160494462784,143.07730416618148,156.9561263015832,147.161052680989,0.033271319015612866,-0.06559621912955116,0.0250430611736705,-0.03892623066004397,True,True,block39_sector72,1_6
far,24.837370142024383,15,6600.0,437453.38655355223,4009271.6336295935,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,21.574110984802246,153.12149532710265,158.2160494462784,138.70806251081638,159.60682358449904,146.59309307368105,0.033271319015612866,-0.0941306952723775,0.042354133516931736,-0.04263543952124704,True,True,block39_sector72,1_6
far,21.572329470797712,15,6700.0,437527.3716030089,4009338.910761346,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,21.605366706848145,153.12149532710265,162.8156743689768,138.70806251081638,169.53694485971147,146.04826755461266,0.06331037338138046,-0.0941306952723775,0.10720538940363467,-0.046193565164576955,True,True,block39_sector72,1_6
