run,product,geometry,transect,distance_m,E,N,band,band_name,window_class,dominant_class_name,admissible_fraction,depth_mean_m,forward_source,lambda_contour_m,lambda_centroid_m,lambda_pred_m,identifiable,rel_err_contour,rel_err_centroid,block
slc_near,slc,near,36,2250.0,434399.03643352614,4006160.506146747,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,15.305513381958008,block39_sector72,204.79999999999964,132.5311178248418,134.29508196721298,False,0.5249999999999988,-0.013134986899980716,4_2
slc_near,slc,near,36,2300.0,434437.4391148146,4006192.5254232828,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,15.419751167297363,block39_sector72,204.79999999999964,130.8974796747196,134.29508196721298,False,0.5249999999999988,-0.025299528789318515,4_2
slc_near,slc,near,36,2350.0,434475.8417961031,4006224.544699818,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,15.523863792419434,block39_sector72,152.64890726398542,146.37412945319065,134.29508196721295,False,0.13666788856239287,0.08994407918025393,4_2
slc_near,slc,near,36,2400.0,434514.24447739165,4006256.5639763535,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,15.617923736572266,block39_sector72,152.64890726398542,165.25762515077872,134.29508196721298,True,0.13666788856239265,0.23055604665496965,4_2
slc_near,slc,near,36,2450.0,434552.64715868013,4006288.583252889,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,15.705432891845703,block39_sector72,142.0032502336585,129.17460729410016,134.29508196721298,False,0.05739724905434285,-0.038128534553208304,4_2
slc_near,slc,near,36,2500.0,434591.0498399686,4006320.6025294242,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,15.788893699645996,block39_sector72,142.0032502336585,116.15752128545586,122.26865671641777,False,0.16140353584657352,-0.04998121018975199,4_2
slc_near,slc,near,36,2550.0,434629.45252125716,4006352.62180596,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,15.86591625213623,block39_sector72,114.4866804479891,115.74754963418656,122.26865671641777,True,-0.063646534421963,-0.053334249818053125,4_2
slc_near,slc,near,36,2600.0,434667.85520254564,4006384.6410824955,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,15.952383041381836,block39_sector72,114.4866804479891,116.49451304301878,122.26865671641777,True,-0.063646534421963,-0.047225052016324764,4_2
slc_near,slc,near,36,2650.0,434706.2578838341,4006416.660359031,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,16.04538345336914,block39_sector72,127.01156821934926,118.02668135463398,122.26865671641778,True,0.038790902184620224,-0.03469389028802672,4_2
slc_near,slc,near,36,2700.0,434744.6605651227,4006448.679635566,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,16.148597717285156,block39_sector72,127.01156821934926,140.65014307662088,122.26865671641777,True,0.038790902184620446,0.1503368635417004,4_2
slc_near,slc,near,36,2750.0,434783.06324641115,4006480.698912102,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,16.25868797302246,block39_sector72,127.01156821934926,144.23063452811064,112.21917808219166,True,0.13181695312652653,0.28525833991114347,4_2
slc_near,slc,near,36,2800.0,434821.46592769964,4006512.7181886374,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,16.377593994140625,block39_sector72,137.38401653758697,147.62919496265218,137.06074601221,True,0.002358593067545378,0.07710777343573416,4_2
slc_near,slc,near,36,2850.0,434859.8686089882,4006544.7374651725,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,16.504234313964844,block39_sector72,152.64890726398542,162.39814360404407,138.84745762711847,True,0.09940008893739627,0.16961553621076808,4_2
slc_near,slc,near,36,2900.0,434898.27129027667,4006576.756741708,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,16.63669204711914,block39_sector72,152.64890726398542,146.2857142857141,138.84745762711847,True,0.09940008893739627,0.0535714285714286,4_2
slc_near,slc,near,36,2950.0,434936.67397156515,4006608.7760182437,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,16.772624969482422,block39_sector72,152.64890726398542,161.79117718263603,138.84745762711847,True,0.09940008893739627,0.1652440739472092,4_2
slc_near,slc,near,36,3000.0,434975.0766528537,4006640.795294779,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,16.907258987426758,block39_sector72,150.5719546048117,147.6176670414185,138.84745762711844,True,0.08444156758836718,0.06316435002974918,4_2
slc_near,slc,near,36,3050.0,435013.4793341422,4006672.8145713145,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,17.042713165283203,block39_sector72,147.03783088491267,169.8446989925713,138.84745762711847,True,0.0589882839611644,0.22324673346700674,4_2
slc_near,slc,near,36,3100.0,435051.88201543066,4006704.83384785,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,17.174592971801758,block39_sector72,168.3445630006857,158.38387029530395,126.0307692307691,True,0.33574177185602805,0.2567079552239706,4_3
slc_near,slc,near,36,3150.0,435090.2846967192,4006736.8531243852,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,17.303998947143555,block39_sector72,170.6666666666665,158.80055126880475,126.0307692307691,False,0.35416666666666674,0.26001413970609377,4_3
slc_near,slc,near,36,3200.0,435128.6873780077,4006768.872400921,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,17.427797317504883,block39_sector72,53.0207102032381,122.7827961525492,126.0307692307691,False,-0.5793034468737206,-0.025771270762242837,4_3
slc_near,slc,near,36,3250.0,435167.09005929617,4006800.8916774564,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,17.545000076293945,block39_sector72,36.36330620049583,80.53493128993019,115.3802816901407,False,-0.6848395092486319,-0.3020043796893249,4_3
slc_near,slc,near,36,3300.0,435205.4927405847,4006832.9109539916,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,17.656997680664062,block39_sector72,36.36330620049583,74.50549985245438,115.3802816901407,False,-0.6848395092486319,-0.35426141485299467,4_3
slc_near,slc,near,36,3350.0,435243.8954218732,4006864.930230527,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,17.760454177856445,block39_sector72,36.4784895938097,77.92711387966696,143.71929824561389,False,-0.7461823844180719,-0.4577825328196995,4_3
slc_near,slc,near,36,3400.0,435282.2981031617,4006896.949507063,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,17.861120223999023,block39_sector72,127.01156821934926,103.39211864141299,143.71929824561389,True,-0.11625251605189024,-0.2805968307421207,4_3
slc_near,slc,near,36,3450.0,435320.7007844502,4006928.968783598,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,17.95655059814453,block39_sector72,127.01156821934926,112.92474722916647,143.71929824561386,True,-0.11625251605189002,-0.21426872655487095,4_3
slc_near,slc,near,36,3500.0,435359.1034657387,4006960.9880601335,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,18.04188346862793,block39_sector72,127.01156821934926,162.0005131791893,143.71929824561389,True,-0.11625251605189024,0.1272008363298096,4_3
slc_near,slc,near,36,3550.0,435397.5061470272,4006993.007336669,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,18.12942886352539,block39_sector72,142.0032502336585,169.2535727546354,143.71929824561389,False,-0.011940275473810713,0.17766768152029155,4_3
slc_near,slc,near,36,3600.0,435435.90882831573,4007025.0266132043,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,18.21299934387207,block39_sector72,142.0032502336585,173.224579831616,143.71929824561389,False,-0.011940275473810713,0.2052979797854153,4_3
slc_near,slc,near,36,3650.0,435474.3115096042,4007057.04588974,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,18.288537979125977,block39_sector72,59.0332755474499,171.10133914275983,143.71929824561389,True,-0.589246007543378,0.19052445448453614,4_3
slc_near,slc,near,36,3700.0,435512.7141908927,4007089.0651662755,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,18.36711883544922,block39_sector72,60.235294117647,169.40997542571694,143.71929824561389,True,-0.5808823529411764,0.17875593252757271,4_3
slc_near,slc,near,36,3750.0,435551.11687218124,4007121.0844428106,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,0.0,18.445995330810547,block39_sector72,31.61638508003521,168.90995652599523,143.71929824561389,True,-0.7800129456101064,0.17527679711691135,4_3
