phase,case,replicate,transfer,gain,selected,recovered,s1_hat,s2_hat,s1_true,s2_true,separation_true,tolerance,alternatives,boundary
evaluation,stress_temporal,9,constant,0.5071082961112352,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,9,geometry,0.5163954556778731,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,10,constant,0.539839990242843,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,10,geometry,0.5455928326388829,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,11,constant,0.5075113460789777,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,stress_temporal,11,geometry,0.5124500430763776,True,True,0.3999999999999999,0.5333333333333332,0.4,0.538,0.138,0.03,0,False
evaluation,physical_overlap,0,constant,0.4779023795599282,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,0,geometry,0.5087721798359848,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,1,constant,0.4894570099084672,False,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,1,False
evaluation,physical_overlap,1,geometry,0.49741383978757847,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,2,constant,0.49039342040916667,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,2,geometry,0.4968235736096702,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,3,constant,0.48828269405164093,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,3,geometry,0.4963125913666294,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,4,constant,0.4441778961324193,False,False,0.46666666666666656,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,1,False
evaluation,physical_overlap,4,geometry,0.46708738638593195,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,5,constant,0.5123858481522368,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,5,geometry,0.5224786418523834,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,6,constant,0.4815232700469191,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,6,geometry,0.5173574912002167,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,7,constant,0.482625092820258,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,7,geometry,0.4880516041494677,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,8,constant,0.43840089746185207,False,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,1,False
evaluation,physical_overlap,8,geometry,0.47237803423992786,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
