scale,correlation_s,partition,replicate,error,gain,improved_folds,stable,category,slope_span,offset_ratio_cv,offset_ratio,delta_s
0,0,primary,145,,-0.1338163922348261,2,True,no_predictive_advantage,0.012798092179021336,0.34855451939685295,0.12313238143245583,-0.00116708832091722
0,0,primary,146,,-0.03740510144003295,1,True,no_predictive_advantage,0.0062070522432604025,0.3996982225584696,0.054483711815870445,-2.434468475526197e-05
0,0,primary,147,,-0.031230944876756705,1,True,no_predictive_advantage,0.025900614157183532,0.13613475434903105,0.016792077405181537,-5.419986387283915e-05
0,0,primary,148,,0.05116604752688658,2,True,descriptive_or_unstable,0.0063441105534330355,0.23996926936618568,0.09517732818097957,0.00028553762751376555
0,0,primary,149,,0.09370993436667274,3,True,descriptive_or_unstable,0.020591976763052466,0.2033805541211791,0.1187597976043872,-0.00028144292068260635
0,0,primary,150,,-0.0682978470241371,2,True,no_predictive_advantage,0.016108011142667245,0.44329578654798657,0.09223755879274373,4.0187442909511706e-05
0,0,primary,151,,-0.0983564781199473,1,False,no_predictive_advantage,0.0031018990588937423,0.7618629450628887,0.018460195820874523,-5.31403478722936e-05
0,0,primary,152,,-0.0694899700613476,2,True,no_predictive_advantage,0.007600932097769686,0.4856708243828726,0.050317655498261546,0.00019726372063716413
0,0,primary,153,,0.046729699672332314,2,True,descriptive_or_unstable,0.004255741275320857,0.2903455594017609,0.07865109062035273,0.000497685690532379
0,0,primary,154,,-0.04565818485602491,0,True,no_predictive_advantage,0.011591404846301556,0.30968881762914463,0.03686392064753406,-0.00011674698915553616
0,0,primary,155,,-0.06503584943149754,1,True,no_predictive_advantage,0.014795757316044378,0.32652372762620285,0.05789482024842286,1.217821783866535e-05
0,0,primary,156,,0.010707235526261627,2,True,descriptive_or_unstable,0.004864213388857452,0.3692032704671329,0.0683952501609395,-0.0004951280978803818
0,0,primary,157,,-0.09277929810710916,2,True,no_predictive_advantage,0.015004151752204153,0.33956679349908503,0.03494793460261388,-0.0002539533948036632
0,0,primary,158,,-0.24750456080564964,0,False,no_predictive_advantage,0.04177920841111982,0.6698172972393054,0.05391787112164656,-0.00038348346040967263
0,0,primary,159,,-0.21676688677360634,0,False,no_predictive_advantage,0.023397439928769248,0.5050090693927924,0.08106890705197478,3.016611802408864e-06
0,0,primary,160,,-0.15743382539225714,1,False,no_predictive_advantage,0.03257119355813609,0.8617794687627636,0.04146289436897857,-0.0004660950330943603
0,0,primary,161,,-0.07780651951145923,0,True,no_predictive_advantage,0.0132828395539753,0.3709754837814382,0.02230986945306369,-6.164463599261927e-05
0,0,primary,162,,-0.1542451161824867,1,False,no_predictive_advantage,0.03682372283933444,0.5093175811133324,0.04454285375952696,4.562093105786591e-05
0,0,primary,163,,-0.13524079803990063,1,True,no_predictive_advantage,0.04017923390761502,0.347376313624918,0.07182983565839576,9.618846922071489e-05
0,0,primary,164,,-0.16781116468699886,2,False,no_predictive_advantage,0.02507143940191281,0.6322554543463828,0.04863540155354048,0.00032372805336872146
