phase,family,replicate,axis,separation_bins,ratio,noise_tau_s,score,valid_structure,denominator,E_early,E_mid1,E_mid2,E_late,pair_counts,truth_primary_s,ols_s,circular_s,r2,frozen_valid,relative_slope_error,B_slope_error_over_10pct,block15i_detects_B,block15i_m1_gain,block15i_amp_corr,A_slopes,control,decision,block15i_decision
evaluation,A_band,7,tangential,1.452,1.0,5.0,1.646487199395864,True,0.019161035201475538,0.2940173701454762,1.3634921704360252,2.477469828717111,1.5255740540828846,61;135;195;105,,0.4031587053724697,0.4035498692260221,0.9996968304408873,True,,False,False,0.0004613175980322515,-0.3932733491485537,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,B_static_observed,0,radial,3.0,1.0,0.0,0.17790720122275178,True,0.028026422120932315,0.7898231125879187,1.2559968365658873,1.8000515494326874,0.9436130840129973,61;135;195;105,0.40000000000205155,-0.0021339592816017666,-0.0028024018774088218,0.043925154010987844,False,1.0053348982039771,True,False,0.0017477474060630938,0.12592549260857164,0.33534259;0.40000000;0.46297132,False,B,abstain
evaluation,B_static_observed,1,radial,3.0,1.0,5.0,1.4834941047912433,True,0.025946395922760414,0.2067612498283408,0.9011573467542121,1.6566510829030123,0.9114701541582356,61;135;195;105,0.40000000000205155,0.4023813991828767,0.4014274937410017,0.9983167137990889,True,0.005953497952032313,False,False,0.011312678649364138,0.8624933171714947,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,B_static_observed,2,radial,3.0,1.0,0.0,0.2285927125321477,True,0.027476897992434836,0.7846755959666699,1.2807225751326796,1.8464902340265097,0.9862038635112638,61;135;195;105,0.40000000000205155,0.4006745333417691,0.40380020370985065,0.9990170622635118,True,0.0016863333492852625,False,False,0.0048191253694559455,-0.3665636199879481,0.33534259;0.40000000;0.46297132,False,B,abstain
evaluation,B_static_observed,3,radial,3.0,1.0,5.0,1.53644244959282,True,0.027099990970854,0.19855998939785516,0.915933011872459,1.7534762480412394,0.9229118421588064,61;135;195;105,0.40000000000205155,0.3924855022056334,0.39678130886075325,0.9981277927371318,True,0.018786244490949053,False,False,0.013530571514534295,0.4565344131022208,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,B_static_observed,4,radial,3.0,1.0,0.0,0.2026611612521722,True,0.027698053746049514,0.8033199129812248,1.2649360582432274,1.8162327845561692,0.9837917053569321,61;135;195;105,0.40000000000205155,-0.0005783623414302669,-0.0008480680951755189,0.0028256278350614616,False,1.0014459058535683,True,False,0.0011823806965005623,-0.4313613767683861,0.33534259;0.40000000;0.46297132,False,B,abstain
evaluation,B_static_observed,5,radial,3.0,1.0,5.0,1.486192270747973,True,0.02565949346860127,0.2159526229951717,0.9628219573626059,1.8167619715779004,0.9545607780262285,61;135;195;105,0.40000000000205155,0.3968995288189125,0.3970369961362666,0.9996767407362752,True,0.007751177957807878,False,False,0.0010942161370479653,-0.17027936959405726,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,B_static_observed,6,radial,3.0,1.0,0.0,0.22749356275869378,True,0.027726078248250137,0.8107986240952353,1.3000717827870154,1.88107794560889,1.0179166121668217,61;135;195;105,0.40000000000205155,0.39920203622328904,0.3999565089218796,0.9989026380074488,True,0.001994909446896047,False,False,0.0014034202201623769,0.1273295717504453,0.33534259;0.40000000;0.46297132,False,B,abstain
evaluation,B_static_observed,7,radial,3.0,1.0,5.0,1.6285881664290531,True,0.02814409028886014,0.19528635152948243,0.9025597041704939,1.7675762065953289,0.9953108667207903,61;135;195;105,0.40000000000205155,0.39137924294972204,0.3946744620169251,0.9987736123039053,True,0.021551892630713235,False,False,0.009906619946567607,-0.25928434663826533,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,B_static_observed,0,tangential,1.452,1.0,0.0,0.20737213616440323,True,0.027990087208090465,0.7868906815484777,1.2541198200712895,1.8095177252754904,0.9682220676138801,61;135;195;105,0.40000000000205155,0.40064678208040144,0.39568792277712844,0.99702409323085,True,0.0016169551958664433,False,False,0.015068604054767731,0.21978026367825051,0.33534259;0.40000000;0.46297132,False,B,abstain
