k_peak_cycles_per_m,wavelength_m,bearing_deg_mod_180,difference_from_frozen_bearing_deg,radial_fwhm_cycles_per_m,radial_fwhm_fraction_of_k,native_delta_f_parallel_cycles_per_m,zero_padding_factor,peak_power_arbitrary,roi,L_parallel_m,L_perpendicular_m,look_index,method,spatial_support
0.007986111111111112,125.21739130434781,79.8357237,0.0,0.0017400864356660857,0.2178890841181881,0.0006944444444444445,2,6849342519.6245985,nearshore_anchored_1440x0650,1440,650,1,quadratic_tukey25,nearshore_edge_anchored
0.007986111111111112,125.21739130434781,79.8357237,0.0,0.0013988930169080297,0.1751657342910924,0.0006944444444444445,2,796647766.5044018,rot_k_1440x0650,1440,650,2,mean_hann,nested_common_center
0.0059027777777777785,169.41176470588232,79.8357237,0.0,0.0013988930169080297,0.236988934629125,0.0006944444444444445,2,12990792806.74526,rot_k_1440x0650,1440,650,2,plane_tukey10,nested_common_center
0.005608557168042024,178.29897601794528,71.95258438327028,7.883139316729725,0.001410266130866632,0.2514490070463101,0.0006944444444444445,2,8437719692.36352,rot_k_1440x0650,1440,650,2,quadratic_tukey25,nested_common_center
0.007986111111111112,125.21739130434781,79.8357237,0.0,0.0013988930169080297,0.1751657342910924,0.0006944444444444445,2,796647766.5044018,nearshore_anchored_1440x0650,1440,650,2,mean_hann,nearshore_edge_anchored
0.0059027777777777785,169.41176470588232,79.8357237,0.0,0.0013988930169080297,0.236988934629125,0.0006944444444444445,2,12990792806.74526,nearshore_anchored_1440x0650,1440,650,2,plane_tukey10,nearshore_edge_anchored
0.005608557168042024,178.29897601794528,71.95258438327028,7.883139316729725,0.001410266130866632,0.2514490070463101,0.0006944444444444445,2,8437719692.36352,nearshore_anchored_1440x0650,1440,650,2,quadratic_tukey25,nearshore_edge_anchored
0.00763888888888889,130.90909090909088,79.8357237,0.0,0.0013988930169080297,0.18312781312250567,0.0006944444444444445,2,272760134.8255388,rot_k_1440x0650,1440,650,3,mean_hann,nested_common_center
0.00763888888888889,130.90909090909088,79.8357237,0.0,0.002786412919857457,0.3647667822358852,0.0006944444444444445,2,4188852367.6603646,rot_k_1440x0650,1440,650,3,plane_tukey10,nested_common_center
0.00767752169864218,130.2503645384495,74.08546303940513,5.750260660594876,0.002809159147774659,0.36589400304416947,0.0006944444444444445,2,3148651027.11034,rot_k_1440x0650,1440,650,3,quadratic_tukey25,nested_common_center
0.00763888888888889,130.90909090909088,79.8357237,0.0,0.0013988930169080297,0.18312781312250567,0.0006944444444444445,2,272760134.8255388,nearshore_anchored_1440x0650,1440,650,3,mean_hann,nearshore_edge_anchored
0.00763888888888889,130.90909090909088,79.8357237,0.0,0.002786412919857457,0.3647667822358852,0.0006944444444444445,2,4188852367.6603646,nearshore_anchored_1440x0650,1440,650,3,plane_tukey10,nearshore_edge_anchored
0.00767752169864218,130.2503645384495,74.08546303940513,5.750260660594876,0.002809159147774659,0.36589400304416947,0.0006944444444444445,2,3148651027.11034,nearshore_anchored_1440x0650,1440,650,3,quadratic_tukey25,nearshore_edge_anchored
0.007407407407407408,135.0,79.8357237,0.0,0.0037190082644628095,0.5020661157024793,0.001851851851851852,2,2091533220.6442099,original_center_rot_0540x0540,540,540,1,mean_hann,original_center
0.0074650534706468055,133.95751335634512,72.71070735109821,7.125016348901795,0.002809159147774661,0.3763079740581232,0.001851851851851852,2,9103402017.92218,original_center_rot_0540x0540,540,540,1,plane_tukey10,original_center
0.007407407407407408,135.0,79.8357237,0.0,0.002786412919857457,0.37616574418075666,0.001851851851851852,2,7753230040.263721,original_center_rot_0540x0540,540,540,1,quadratic_tukey25,original_center
0.008333333333333335,119.99999999999997,79.8357237,0.0,0.0046402304951095605,0.5568276594131472,0.001851851851851852,2,2737841735.4337287,original_center_rot_0540x0540,540,540,2,mean_hann,original_center
0.007407407407407408,135.0,79.8357237,0.0,0.002786412919857457,0.37616574418075666,0.001851851851851852,2,10886468066.28659,original_center_rot_0540x0540,540,540,2,plane_tukey10,original_center
0.007407407407407408,135.0,79.8357237,0.0,0.0037190082644628095,0.5020661157024793,0.001851851851851852,2,9193834281.106838,original_center_rot_0540x0540,540,540,2,quadratic_tukey25,original_center
0.008333333333333335,119.99999999999997,79.8357237,0.0,0.0046402304951095605,0.5568276594131472,0.001851851851851852,2,700263222.968884,original_center_rot_0540x0540,540,540,3,mean_hann,original_center
0.0074650534706468055,133.95751335634512,86.9607400489018,7.125016348901795,0.0018765638031693083,0.2513798207270864,0.001851851851851852,2,3495832866.8449717,original_center_rot_0540x0540,540,540,3,plane_tukey10,original_center
0.007407407407407408,135.0,79.8357237,0.0,0.0037190082644628095,0.5020661157024793,0.001851851851851852,2,2662407837.432718,original_center_rot_0540x0540,540,540,3,quadratic_tukey25,original_center
